gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-HECA|HECA,2844,2110,2905,2032,2554,1970
gene-LOC119870740|LOC119870740,36,18,35,41,73,66
gene-LOC111090654|LOC111090654,0,0,0,0,0,0
gene-LOC102156887|LOC102156887,53,35,55,81,66,39
gene-CITED2|CITED2,575,493,675,252,340,277
gene-LOC106558610|LOC106558610,25,20,27,23,43,28
gene-LOC106558606|LOC106558606,5,0,4,3,4,7
gene-LOC111095494|LOC111095494,17,11,12,19,27,18
gene-LOC106558957|LOC106558957,2,2,3,3,4,4
gene-LOC611622|LOC611622,8,8,9,6,9,8
gene-LOC100686429|LOC100686429,4,3,3,5,7,5
gene-NMBR|NMBR,153,45,129,47,51,109
gene-GJE1|GJE1,0,0,0,0,0,0
gene-VTA1|VTA1,1610,1242,1827,1333,1620,1442
gene-ADGRG6|ADGRG6,1222,560,1327,947,1092,1279
gene-LOC100856282|LOC100856282,0,0,0,0,0,0
gene-HIVEP2|HIVEP2,12139,11792,12260,8346,9407,8371
gene-AIG1|AIG1,1269,908,1152,1030,1224,1024
gene-LOC111095529|LOC111095529,17,17,17,16,14,15
gene-LOC111095530|LOC111095530,44,29,22,14,33,17
gene-ADAT2|ADAT2,648,538,729,506,640,566
gene-PEX3|PEX3,617,589,613,542,590,575
gene-LOC111095543|LOC111095543,0,8,4,0,4,3
gene-FUCA2|FUCA2,655,547,684,510,638,500
gene-LOC102151921|LOC102151921,6,7,5,0,5,0
gene-LOC100856400|LOC100856400,11,12,6,6,15,21
gene-LOC119870688|LOC119870688,0,7,5,0,6,4
gene-LOC111095548|LOC111095548,116,69,67,59,41,34
gene-PHACTR2|PHACTR2,4404,4121,4049,2960,3517,3042
gene-SF3B5|SF3B5,437,445,510,386,444,368
gene-ZC2HC1B|ZC2HC1B,91,84,93,96,101,59
gene-PLAGL1|PLAGL1,71,60,67,33,42,43
gene-LTV1|LTV1,560,459,504,352,426,388
gene-LOC119875039|LOC119875039,19,16,28,30,42,31
gene-STX11|STX11,67,31,57,42,72,45
gene-LOC106558637|LOC106558637,11,14,13,11,11,8
gene-TRNAL-UAA|TRNAL-UAA,0,1,1,1,1,0
gene-LOC119870746|LOC119870746,5,2,3,2,4,2
gene-LOC100856481|LOC100856481,0,0,0,0,0,0
gene-LOC611761|LOC611761,6,6,9,7,11,7
gene-LOC119870747|LOC119870747,0,6,0,0,0,0
gene-LOC484021|LOC484021,54,52,69,52,101,60
gene-UTRN|UTRN,5580,4190,4854,3023,4410,4067
gene-LOC119869934|LOC119869934,1,1,0,0,0,1
gene-LOC119869876|LOC119869876,2,1,0,2,1,1
gene-EPM2A|EPM2A,623,589,736,527,733,527
gene-LOC111095602|LOC111095602,10,15,14,5,14,16
gene-LOC119870748|LOC119870748,10,16,12,14,10,12
gene-FBXO30|FBXO30,1481,1234,1306,1212,1192,988
gene-LOC111095614|LOC111095614,0,0,0,0,0,0
gene-SHPRH|SHPRH,2791,2446,2618,2705,3301,2591
gene-LOC111095616|LOC111095616,84,74,92,102,103,89
gene-LOC111095623|LOC111095623,11,6,8,7,19,6
gene-RAB32|RAB32,457,296,417,226,300,279
gene-GRM1|GRM1,1203,837,1207,1109,1319,1031
gene-LOC102154181|LOC102154181,41,29,55,31,34,34
gene-LOC102157054|LOC102157054,19,18,23,8,17,16
gene-ADGB|ADGB,64,53,42,68,100,64
